open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1733037480000,96452.20,96530.00,96452.20,96511.00,86.565,1733037659999,8353255.72710,2026,50.752,4896958.36990,0
1733037660000,96511.10,96534.30,96500.00,96513.70,75.034,1733037839999,7241996.82790,1785,40.411,3900301.56910,0
1733037840000,96513.70,96531.30,96490.10,96520.00,99.320,1733038019999,9585350.49170,1944,24.459,2360659.86690,0
1733038020000,96519.90,96536.20,96505.30,96513.70,46.849,1733038199999,4521840.06250,1442,21.062,2032898.91060,0
1733038200000,96513.70,96536.20,96505.30,96510.30,113.305,1733038379999,10936974.95280,1554,81.059,7824365.97460,0
1733038380000,96510.30,96529.20,96470.40,96480.00,65.023,1733038559999,6274702.56980,1839,30.880,2979890.18080,0
1733038560000,96480.10,96530.90,96457.00,96466.80,131.681,1733038739999,12706715.27920,2368,91.985,8876236.53250,0
1733038740000,96466.80,96476.30,96450.00,96470.00,66.451,1733038919999,6409988.44450,1317,28.698,2768339.44310,0
1733038920000,96470.00,96487.90,96464.20,96487.90,45.117,1733039099999,4352600.25510,1180,36.375,3509219.98750,0
1733039100000,96487.90,96514.40,96470.40,96498.00,59.992,1733039279999,5788866.73690,1427,34.524,3331253.84640,0
1733039280000,96497.90,96550.00,96497.90,96526.40,130.259,1733039459999,12574709.19810,2025,94.825,9153968.08250,0
1733039460000,96526.40,96560.50,96526.40,96560.40,67.448,1733039639999,6511670.50290,1182,55.235,5332592.36050,0
1733039640000,96560.40,96565.00,96522.00,96549.90,86.941,1733039819999,8394160.10050,1585,55.973,5404269.86790,0
1733039820000,96549.90,96549.90,96513.00,96525.40,38.702,1733039999999,3735815.92250,1196,12.490,1205616.90350,0
1733040000000,96525.40,96525.70,96480.00,96512.90,106.514,1733040179999,10279624.58150,2318,63.860,6163103.47840,0
1733040180000,96512.90,96589.90,96500.00,96578.80,141.780,1733040359999,13690777.40010,2912,85.973,8302030.90620,0
1733040360000,96578.90,96597.60,96576.30,96584.20,88.775,1733040539999,8574534.35060,1853,62.583,6044692.96990,0
1733040540000,96584.20,96730.30,96584.10,96722.10,481.863,1733040719999,46579969.86020,6508,387.864,37493207.64010,0
1733040720000,96722.10,96799.60,96720.00,96785.00,515.492,1733040899999,49877932.99690,6348,265.175,25657907.34130,0
1733040900000,96785.00,96860.00,96740.90,96756.90,701.854,1733041079999,67940214.68810,8393,268.476,25989824.79810,0
1733041080000,96756.90,96876.50,96756.90,96846.60,249.316,1733041259999,24138770.32780,4290,142.153,13762477.16800,0
1733041260000,96846.60,96850.00,96811.70,96850.00,253.015,1733041439999,24501753.58700,3632,123.152,11925793.56990,0
1733041440000,96849.90,97250.00,96798.80,97144.60,2015.955,1733041619999,195715561.95940,28455,1235.329,119931131.58580,0
1733041620000,97144.70,97192.80,96968.50,97018.20,1134.218,1733041799999,110079962.15310,16518,598.830,58120809.39890,0
1733041800000,97018.20,97165.00,96816.50,97011.90,1610.055,1733041979999,156256811.12620,20532,924.205,89703464.30420,0
1733041980000,97011.90,97099.30,96952.70,97016.30,821.545,1733042159999,79712924.33120,15810,383.727,37231233.68050,0
1733042160000,97016.30,97059.10,96930.00,96993.20,593.626,1733042339999,57574574.23090,9453,200.513,19448416.40620,0
1733042340000,96992.30,97077.50,96940.40,97068.00,409.079,1733042519999,39688410.30480,8245,261.466,25367998.44330,0
1733042520000,97068.00,97095.80,96950.00,97093.60,325.519,1733042699999,31584593.64410,7160,146.649,14230505.44780,0
1733042700000,97093.60,97154.20,97054.10,97149.20,485.488,1733042879999,47140249.92830,6051,365.649,35504761.30180,0
1733042880000,97149.10,97200.00,97120.00,97196.00,381.183,1733043059999,37033533.88790,6914,204.936,19911046.47080,0
1733043060000,97196.00,97238.30,97149.10,97176.20,398.149,1733043239999,38700520.45840,7468,219.434,21329763.64340,0
1733043240000,97176.10,97222.00,97083.00,97127.30,276.551,1733043419999,26871702.34380,6182,108.215,10515443.80560,0
1733043420000,97127.40,97127.40,97052.00,97100.00,265.287,1733043599999,25755374.15200,5362,85.618,8312510.06120,0
1733043600000,97100.10,97164.00,97000.00,97039.10,517.907,1733043779999,50279435.94920,8686,287.692,27933964.04390,0
1733043780000,97040.00,97044.00,96959.90,97000.00,183.198,1733043959999,17768446.80160,5066,55.797,5411726.25020,0
1733043960000,96999.90,97010.30,96966.50,96980.10,129.668,1733044139999,12576815.93750,3621,49.809,4830974.61380,0
1733044140000,96980.10,96984.20,96925.00,96972.10,248.664,1733044319999,24108496.39680,3500,68.802,6670373.07550,0
1733044320000,96972.10,97037.40,96961.40,97011.70,130.218,1733044499999,12628576.40050,2650,70.353,6822866.15630,0
1733044500000,97011.70,97084.00,97005.50,97050.50,194.666,1733044679999,18892893.06430,3585,114.143,11077753.68280,0
1733044680000,97050.50,97080.00,96971.40,96978.30,410.658,1733044859999,39843387.34900,4745,169.880,16484150.82370,0
1733044860000,96978.30,96978.30,96926.00,96932.60,284.907,1733045039999,27622140.83760,2946,34.605,3355178.01680,0
1733045040000,96932.50,96954.80,96914.60,96946.10,149.827,1733045219999,14523535.52570,2617,38.540,3735887.22740,0
1733045220000,96946.10,96958.80,96925.90,96958.80,67.979,1733045399999,6590272.74690,1799,20.391,1976764.33620,0
1733045400000,96958.70,96965.90,96909.40,96940.00,100.374,1733045579999,9729544.42200,2538,40.272,3903496.78030,0
1733045580000,96940.00,96958.80,96923.10,96950.30,79.257,1733045759999,7683621.26440,2100,42.790,4148340.72960,0
